x	Genesis	Exodus	Leviticus	Numbers	Deuteronomy	Joshua	Judges	Ruth	1 Samuel	2 Samuel	1 Kings	2 Kings	1 Chronicles	2 Chronicles	Ezra	Nehemiah	Esther	Job	Psalm	Proverbs	Ecclesiastes	Song of Solomon	Isaiah	Jeremiah	Lamentations	Ezekiel	Daniel	Hosea	Joel	Amos	Obadiah	Jonah	Micah	Nahum	Habakkuk	Zephaniah	Haggai	Zechariah	Malachi	Matthew	Mark	Luke	John	Acts	Romans	1 Corinthians	2 Corinthians	Galatians	Ephesians	Philippians	Colossians	1 Thessalonians	2 Thessalonians	1 Timothy	2 Timothy	Titus	Philemon	Hebrews	James	1 Peter	2 Peter	1 John	2 John	3 John	Jude	Revelation
Genesis	4231	454	125	322	386	197	218	58	321	222	142	123	200	86	23	74	46	342	1004	386	116	36	525	284	23	206	137	71	17	44	5	23	47	6	18	14	3	42	36	344	53	296	186	295	224	132	87	91	100	42	43	36	9	80	20	30	5	247	59	91	40	47	1	1	15	139
Exodus	402	2509	482	510	628	162	88	6	159	85	157	63	112	146	38	94	5	119	757	168	43	30	425	209	13	216	57	33	30	39	1	21	31	13	17	7	7	70	37	228	51	148	171	201	101	133	76	32	77	26	28	21	9	31	21	14		254	43	58	15	37	1		8	201
Leviticus	126	538	1854	361	324	41	31	9	67	28	56	67	26	84	29	44	1	59	281	113	13	3	282	174	25	290	24	30	19	28	1	4	23	5	4	4	17	41	51	153	36	105	103	96	163	93	92	44	75	29	25	20	7	45	15	27	1	258	30	96	10	58	3		13	96
Numbers	335	653	438	1909	467	261	101	9	138	71	69	44	191	92	35	63	8	52	454	74	11	10	257	144	13	168	47	33	20	26	2	9	34	6	8	8	3	33	29	149	25	87	108	133	97	125	56	25	49	28	17	17	6	40	18	14		174	29	48	28	16	5	1	24	99
Deuteronomy	273	547	276	423	1778	312	130	19	104	79	133	90	73	152	20	104	5	105	776	229	19	4	476	403	57	244	59	73	26	56	4	10	49	11	27	25	15	46	61	221	45	189	126	147	156	104	74	41	65	26	22	27	16	49	25	20		162	48	51	32	49	1		9	103
Joshua	221	212	43	297	404	1061	204	4	178	100	110	76	118	84	24	37	9	36	240	63	20	3	156	85	4	55	29	21	12	19	1	5	19	3	11	9	2	21	6	85	9	49	40	83	42	32	20	13	18	12	5	8	2	9	16	6		66	16	4	13	6			3	62
Judges	229	130	44	117	202	251	781	4	269	95	93	70	32	83	14	21	10	59	307	130	31	8	157	115	9	34	19	40	7	4	1	9	29	3	9	2		12	8	87	7	54	57	52	48	43	37	15	18	19	2	12	6	8	5	2	2	38	24	14	7	10	1	1	2	48
Ruth	53	10	7	3	29	6	14	53	21	15	10	9	8				3	17	52	30	8	3	19	8	3	4	3	3	2	3			2			2		4	2	38	1	30	6	8	7	7	6	2	8	5	4	6	3	7	6		1	14	1	3		3	1			3
1 Samuel	257	192	77	133	151	189	284	22	1393	305	155	101	111	64	9	29	15	101	534	191	39	3	209	149	17	48	39	49	11	30		8	26	2	12	7		23	20	151	22	124	79	102	70	33	49	13	27	23	11	19	3	13	18	2	1	46	27	34	8	11	1	2	7	44
2 Samuel	243	111	40	87	131	119	127	21	473	931	224	72	302	71	7	21	20	100	629	178	32	6	214	110	16	60	29	22	11	25	2	11	27	4	12	3	1	20	8	128	16	93	52	62	49	36	19	8	20	13	4	8	7	5	10	7	2	44	23	24	7	9			1	37
1 Kings	198	248	65	106	249	143	120	6	223	304	1260	365	199	497	38	42	27	80	440	166	56	9	286	254	13	178	87	31	16	49	3	13	32	4	13	8	2	51	15	200	42	125	105	134	68	46	35	14	30	13	10	7	1	12	12	1	2	61	34	25	14	16	2		4	82
2 Kings	136	137	78	87	245	97	85	9	149	101	615	1220	85	465	26	62	19	66	306	93	23	2	415	397	29	190	74	72	7	59	2	12	33	8	8	9	2	36	16	166	52	130	102	127	40	30	28	7	13	13	1	12	10	10	5	5	1	48	17	16	5	6		2	1	55
1 Chronicles	252	183	55	247	123	222	93	13	267	407	244	118	901	245	74	121	7	32	516	46	20	6	170	108	5	59	28	8	6	15	1	7	17	1	2	2	14	17	9	68	3	51	40	64	38	29	29	5	28	21	8	5	4	9	6	4	3	47	8	14	3	6		1	3	47
